transaction_id,customer_id,product_id,quantity,price,transaction_date,payment_type,status
TXN25607182000,51,4,1,49.99,2024-08-06,PayPal,Pending
TXN79077680235,76,16,3,29.99,2024-08-06,Cash,Completed
TXN43784716936,19,35,3,14.5,2024-08-06,Cash,Pending
TXN19937039386,89,28,1,149.99,2024-08-06,Cash,Completed
TXN16085849028,93,12,3,29.99,2024-08-06,Credit Card,Pending
TXN1310312293,74,15,3,49.99,2024-08-06,Credit Card,Completed
TXN86496658917,73,19,4,149.99,2024-08-06,Credit Card,Pending
TXN41523949210,85,25,4,89.99,2024-08-06,PayPal,Completed
TXN4421626416,55,16,2,29.99,2024-08-06,PayPal,Completed
TXN6422983247,93,14,2,89.99,2024-08-06,Cash,Pending
TXN40800918276,48,44,3,799.99,2024-08-06,Credit Card,Completed
TXN59723992099,12,25,4,89.99,2024-08-06,Cash,Completed
TXN70120532096,58,13,1,149.99,2024-08-06,Credit Card,Pending
TXN88621243870,57,30,3,199.0,2024-08-06,PayPal,Failed
TXN90195864388,48,10,2,29.99,2024-08-06,Cash,Completed
TXN18744975108,15,11,2,29.99,2024-08-06,Credit Card,Failed
TXN64067614877,77,26,4,799.99,2024-08-06,Cash,Completed
TXN80958144105,53,11,5,29.99,2024-08-06,PayPal,Failed
TXN68684923183,75,42,5,49.99,2024-08-06,Debit Card,Failed
TXN98093937540,97,12,5,29.99,2024-08-06,Credit Card,Pending
TXN81911063114,26,17,5,149.99,2024-08-06,Debit Card,Failed
TXN66818224583,81,3,4,89.99,2024-08-06,PayPal,Failed
TXN49967385840,3,13,2,149.99,2024-08-06,Debit Card,Completed
TXN50090133549,7,41,5,89.99,2024-08-06,Cash,Pending
TXN73358530976,46,38,5,149.99,2024-08-06,Cash,Pending
